1,ATL,33.7490,84.3880
2,BWI,37.2904,76.6122
3,BOS,42.3601,71.0589
4,ORD,41.8781,87.6298
5,CVG,39.1031,84.5120
6,CLE,41.4993,81.6944
7,DFW,32.7767,96.7970
8,DEN,39.7392,104.9903
9,DET,43.7314,83.0458
10,IAH,29.7604,95.3698
11,MCI,39.0997,94.5786
12,LAX,34.0522,118.2437
13,MEM,35.1495,90.0490
14,MIA,25.7617,80.1918
15,MSP,44.9778,93.2650
16,MSY,29.9511,90.0715
17,LGA,40.7128,74.0060
18,PHL,39.9526,74.1652
19,PHX,33.4484,112.0740
20,PIT,39.4406,77.9959
21,STL,38.6270,90.1994
22,SFO,37.6213,122.3790
23,SEA,47.6062,122.3321
24,TPA,27.9506,82.4572
25,DCA,35.5072,76.0369
